"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","4","12","Useless parentheses.","Unnecessary","UselessParentheses"
"2","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","4","12","Useless parentheses.","Unnecessary","UselessParentheses"
"3","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","15","Avoid empty if statements","Empty Code","EmptyIfStmt"
"4","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","20","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"5","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","4","22","Useless parentheses.","Unnecessary","UselessParentheses"
"6","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","4","22","Useless parentheses.","Unnecessary","UselessParentheses"
"7","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","26","Avoid empty if statements","Empty Code","EmptyIfStmt"
"8","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","31","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"9","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","31","Perhaps 'carSwitch' could be replaced by a local variable.","Design","SingularField"
"10","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","37","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"11","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","37","Private field 'carPositionX' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"12","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","43","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"13","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","43","Private field 'carPositionY' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
"14","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/PowertrainSystem.java","3","49","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"1","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/Scheduler.java","3","8","All methods are static.  Consider using a utility class instead. Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design","UseUtilityClass"
"2","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/Scheduler.java","4","13","Consider using varargs for methods or constructors which take an array the last parameter.","Design","UseVarargs"
"1","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/VirtualFunctionBus.java","3","48","Fields should be declared at the top of the class, before any method declarations, constructors, initializers or inner classes.","Design","FieldDeclarationsShouldBeAtStartOfClass"
"2","com.unideb.bosch.automatedcar","/mnt/sdb5/OE-NIK/PhD/bosch/debrecen/framework/UniDeb/src/com/unideb/bosch/automatedcar/VirtualFunctionBus.java","3","48","Private field 'powertrainSystem' could be made final; it is only initialized in the declaration or constructor.","Design","ImmutableField"
